  date	amount
12/17/20	5
12/17/20	5
12/17/20	10.1
12/17/20	10
12/17/20	25
12/17/20	5
12/17/20	5
12/17/20	5
12/17/20	50
12/17/20	49
12/17/20	49
12/17/20	20.2
12/17/20	20
12/17/20	26
12/17/20	2
12/17/20	2
12/18/20	106.79
12/18/20	0.49
12/18/20	10.1
12/18/20	10
12/18/20	10
12/18/20	15.15
12/18/20	15
12/18/20	15
12/18/20	15.15
12/18/20	15
12/18/20	15
12/19/20	10
12/19/20	3.03
12/19/20	3
12/19/20	3
12/19/20	107.06
12/19/20	106
12/19/20	104.41
12/19/20	10.1
12/19/20	10
12/19/20	10
12/19/20	10
12/19/20	5
12/19/20	5
12/20/20	10.1
12/20/20	10
12/20/20	10
12/20/20	25.25
12/20/20	25
12/20/20	25
12/20/20	30
12/20/20	29
12/20/20	29
12/20/20	1
12/21/20	25.25
12/21/20	25
12/21/20	25
12/22/20	3
12/22/20	2
12/22/20	217.57
12/22/20	106.53
12/22/20	319.24
12/23/20	9
12/23/20	50.5
12/23/20	50
12/23/20	50
12/23/20	713.57
12/23/20	711.04
12/23/20	704
12/23/20	694.04
12/23/20	5
12/24/20	172.06
12/24/20	4
12/24/20	27.27
12/24/20	27
12/24/20	26.59
12/24/20	48.23
12/24/20	47.75
12/24/20	47
12/25/20	11
12/25/20	10
12/25/20	10
12/26/20	30
12/26/20	30
12/26/20	30
12/26/20	3
12/26/20	3
12/26/20	15
12/26/20	10
12/26/20	10
12/27/20	26
12/27/20	10
12/27/20	30.99
12/27/20	30.99
12/27/20	4.85
12/27/20	4.85
12/27/20	30
12/27/20	15
12/27/20	14
12/27/20	14
12/27/20	1
12/27/20	10
12/27/20	33.99
12/27/20	9.5
12/27/20	9.5
12/27/20	176.95
12/27/20	34.47
12/27/20	20
12/27/20	10
12/27/20	30.49
12/27/20	150
12/27/20	5
12/27/20	5
12/27/20	3
12/27/20	3
12/27/20	17
12/27/20	10
12/27/20	10
12/27/20	5
12/27/20	1
12/27/20	145
12/27/20	16
12/28/20	1
12/28/20	1
12/28/20	1.5
12/28/20	1.5
12/28/20	367.66
12/28/20	9.09
12/28/20	9
12/28/20	9
12/28/20	166.65
12/28/20	165
12/28/20	164
12/28/20	164
12/28/20	151.5
12/28/20	150
12/28/20	149
12/28/20	21.42
12/28/20	21.42
12/28/20	21.42
12/28/20	50.5
12/28/20	50
12/28/20	40
12/28/20	16
12/28/20	37
12/29/20	10
12/29/20	9
12/29/20	20
12/29/20	10
12/29/20	29.55
12/29/20	208.06
12/29/20	206
12/29/20	203
12/30/20	20
12/30/20	15
12/30/20	500
12/31/20	9
12/31/20	13.13
12/31/20	13
12/31/20	13
12/31/20	20.2
12/31/20	20
12/31/20	19.72
1/1/21	15.76
1/1/21	50
1/1/21	20
1/1/21	20
1/1/21	20
1/1/21	20
1/1/21	5.01
1/1/21	5.01
1/1/21	1
1/1/21	1
1/1/21	1
1/1/21	1.98
1/1/21	1.98
1/1/21	1
1/1/21	78.77
1/2/21	1
1/2/21	0.98
1/2/21	1
1/2/21	1
1/2/21	1
1/2/21	3
1/2/21	3
1/2/21	3
1/2/21	50.5
1/2/21	50
1/2/21	49.25
1/2/21	27.27
1/2/21	27
1/2/21	10
1/2/21	16
1/2/21	10.1
1/2/21	10
1/2/21	6.6
1/2/21	6.6
1/2/21	10
1/2/21	9.8
1/2/21	4
1/2/21	50
1/2/21	19.19
1/2/21	19
1/2/21	1
1/2/21	1
1/3/21	3.03
1/3/21	3
1/3/21	179
1/3/21	178
1/3/21	13
1/3/21	100
1/3/21	98
1/3/21	98
1/3/21	14
1/3/21	10
1/3/21	10
1/4/21	10
1/4/21	10
1/4/21	100
1/4/21	98.5
1/4/21	100
1/4/21	97
1/4/21	97
1/4/21	30
1/4/21	28
1/4/21	943.64
1/4/21	2092.39
1/4/21	936.27
1/4/21	927
1/4/21	1010
1/4/21	1000
1/4/21	990.67
1/4/21	917
1/4/21	1010
1/4/21	1000
1/4/21	50.5
1/4/21	50
1/4/21	1000
1/4/21	30
1/4/21	68.9
1/5/21	10
1/5/21	14
1/5/21	10.08
1/5/21	2
1/5/21	9.98
1/5/21	9.98
1/5/21	1
1/5/21	174.53
1/5/21	171.91
1/5/21	100
1/5/21	100
1/5/21	500
1/5/21	2
1/5/21	2
1/5/21	10
1/5/21	9
1/5/21	9
1/5/21	1906.06
1/5/21	1860
1/5/21	1850
1/5/21	35.35
1/5/21	35
1/5/21	1800
1/5/21	20
1/6/21	49.25
1/6/21	2
1/6/21	30
1/6/21	20
1/6/21	20
1/6/21	50
1/6/21	5
1/6/21	3
1/6/21	2
1/6/21	3
1/6/21	90
1/6/21	1
1/6/21	1
1/6/21	40.79
1/6/21	40.6
1/6/21	40.2
1/6/21	39.6
